,tweet_id,rating(over_10),total_likes,total_retweets,dog_breed
0,666020888022790149,8,2535,532,Welsh Springer Spaniel
1,666029285002620928,7,132,48,Redbone
2,666033412701032449,9,128,47,German Shepherd
3,666044226329800704,6,311,147,Rhodesian Ridgeback
4,666049248165822465,5,111,41,Miniature Pinscher
5,666050758794694657,10,136,60,Bernese Mountain Dog
6,666055525042405380,10,448,261,Chow
7,666057090499244032,9,304,146,Golden Retriever
8,666058600524156928,8,115,61,Miniature Poodle
9,666063827256086533,10,496,232,Golden Retriever
10,666071193221509120,9,154,67,Gordon Setter
11,666073100786774016,10,335,174,Walker Hound
12,666082916733198337,6,121,47,Pug
13,666094000022159362,9,169,79,Bloodhound
14,666099513787052032,8,164,73,Lhasa
15,666102155909144576,11,81,16,English Setter
16,666273097616637952,11,184,82,Italian Greyhound
17,666337882303524864,9,204,96,Newfoundland
18,666345417576210432,10,307,146,Golden Retriever
19,666353288456101888,8,229,77,Malamute
20,666373753744588802,11,194,100,Soft-Coated Wheaten Terrier
21,666396247373291520,9,172,92,Chihuahua
22,666407126856765440,7,113,44,Black-And-Tan Coonhound
23,666418789513326592,10,129,48,Toy Terrier
24,666421158376562688,12,327,118,Blenheim Spaniel
25,666428276349472768,7,171,90,Pembroke
26,666430724426358785,6,330,204,Irish Terrier
27,666435652385423360,10,170,54,Chesapeake Bay Retriever
28,666437273139982337,7,131,52,Chihuahua
29,666447344410484738,9,107,23,Curly-Coated Retriever
30,666454714377183233,10,545,223,Dalmatian
31,666644823164719104,9,238,88,Ibizan Hound
32,666649482315059201,4,923,608,Border Collie
33,666691418707132416,8,196,51,German Shepherd
34,666701168228331520,8,449,234,Labrador Retriever
35,666739327293083650,10,244,71,Miniature Poodle
36,666776908487630848,5,368,186,Miniature Pinscher
37,666781792255496192,10,404,211,Italian Greyhound
38,666804364988780544,8,250,95,English Setter
39,666817836334096384,9,540,267,Miniature Schnauzer
40,666826780179869698,12,266,105,Maltese Dog
41,666835007768551424,10,222,83,Airedale
42,666996132027977728,10,258,102,Rottweiler
43,667044094246576128,12,198,54,Golden Retriever
44,667062181243039745,10,227,57,Chesapeake Bay Retriever
45,667073648344346624,10,425,134,Chihuahua
46,667090893657276420,7,349,132,Chihuahua
47,667119796878725120,10,346,135,Pembroke
48,667138269671505920,10,4851,2387,West Highland White Terrier
49,667152164079423490,12,49720,18285,Toy Poodle
50,667160273090932737,11,268,66,Golden Retriever
51,667165590075940865,10,2819,1241,Miniature Pinscher
52,667171260800061440,10,235,97,Giant Schnauzer
53,667174963120574464,9,262,88,Toy Poodle
54,667176164155375616,4,640,484,Soft-Coated Wheaten Terrier
55,667177989038297088,8,200,58,Vizsla
56,667182792070062081,10,15075,6618,Golden Retriever
57,667192066997374976,12,414,115,Rottweiler
58,667200525029539841,11,658,282,Siberian Husky
59,667211855547486208,9,516,258,Golden Retriever
60,667393430834667520,8,211,60,Papillon
61,667405339315146752,7,489,234,Saint Bernard
62,667435689202614272,12,326,89,Rottweiler
63,667453023279554560,11,327,96,Labrador Retriever
64,667455448082227200,7,203,66,Tibetan Terrier
65,667470559035432960,11,273,102,Toy Poodle
66,667491009379606528,7,559,242,Borzoi
67,667495797102141441,9,565,294,Chihuahua
68,667502640335572993,11,563,231,Labrador Retriever
69,667509364010450944,12,7148,2272,Beagle
70,667517642048163840,8,389,203,Italian Greyhound
71,667524857454854144,12,1798,1198,Chesapeake Bay Retriever
72,667530908589760512,10,501,264,Golden Retriever
73,667534815156183040,8,866,576,Pembroke
74,667538891197542400,9,220,72,Yorkshire Terrier
75,667544320556335104,10,917,568,Pomeranian
76,667546741521195010,9,355,138,Toy Poodle
77,667728196545200128,11,398,162,Kuvasz
78,667773195014021121,8,243,61,West Highland White Terrier
79,667793409583771648,8,736,358,Dalmatian
80,667801013445750784,12,346,101,Flat-Coated Retriever
81,667806454573760512,10,1111,535,Chihuahua
82,667832474953625600,12,303,68,Miniature Pinscher
83,667861340749471744,9,253,86,Malamute
84,667878741721415682,2,409,127,Miniature Pinscher
85,667885044254572545,10,868,530,Malamute
86,667886921285246976,11,2011,1180,Pomeranian
87,667902449697558528,9,905,396,Norwegian Elkhound
88,667915453470232577,10,222,59,Boxer
89,667924896115245057,9,318,119,Labrador Retriever
90,668113020489474048,6,709,265,Pembroke
91,668171859951755264,7,525,208,Chihuahua
92,668190681446379520,12,696,210,Blenheim Spaniel
93,668204964695683073,8,586,206,Labrador Retriever
94,668221241640230912,10,537,215,Chow
95,668237644992782336,10,6614,3100,Chow
96,668248472370458624,8,1056,523,Chihuahua
97,668256321989451776,13,1385,667,Pembroke
98,668268907921326080,10,592,261,Pembroke
99,668274247790391296,10,886,248,Soft-Coated Wheaten Terrier
100,668286279830867968,11,535,149,Golden Retriever
101,668297328638447616,9,656,319,Eskimo Dog
102,668480044826800133,11,491,162,Labrador Retriever
103,668484198282485761,9,453,253,Standard Poodle
104,668496999348633600,8,436,146,Staffordshire Bullterrier
105,668507509523615744,10,345,116,Basenji
106,668528771708952576,12,496,242,Labrador Retriever
107,668537837512433665,8,265,79,Lakeland Terrier
108,668542336805281792,10,497,231,American Staffordshire Terrier
109,668567822092664832,11,265,62,Shih-Tzu
110,668623201287675904,10,1551,851,Chihuahua
111,668625577880875008,10,417,140,Groenendael
112,668627278264475648,9,341,123,French Bulldog
113,668631377374486528,5,763,349,Miniature Schnauzer
114,668633411083464705,10,3024,1788,Pekinese
115,668636665813057536,10,1114,528,Komondor
116,668641109086707712,10,1145,573,Pug
117,668655139528511488,11,562,233,Beagle
118,668779399630725120,10,749,409,Chesapeake Bay Retriever
119,668815180734689280,7,610,291,Redbone
120,668826086256599040,10,467,150,Malinois
121,668852170888998912,11,479,184,Golden Retriever
122,668872652652679168,11,566,322,Miniature Schnauzer
123,668892474547511297,11,422,164,Kelpie
124,668902994700836864,11,338,107,Brittany Spaniel
125,668932921458302977,9,284,63,Standard Poodle
126,668955713004314625,10,300,77,Cocker Spaniel
127,668960084974809088,10,757,263,Chesapeake Bay Retriever
128,668975677807423489,11,1386,641,Basset
129,668979806671884288,12,842,382,Golden Retriever
130,668986018524233728,9,578,183,Chihuahua
131,668989615043424256,3,726,356,Pug
132,668994913074286592,5,468,254,English Springer
133,669000397445533696,11,22118,6965,Pembroke
134,669006782128353280,12,610,269,Chihuahua
135,669037058363662336,10,698,336,Chihuahua
136,669203728096960512,9,1074,522,Pug
137,669216679721873412,8,958,422,Golden Retriever
138,669324657376567296,11,525,223,Cardigan
139,669327207240699904,13,610,127,Golden Retriever
140,669328503091937280,12,1081,452,Siberian Husky
141,669353438988365824,10,687,281,Pembroke
